,topic,link,headline
0,Middle East Conflict,https://news.google.com/read/CBMigwNBVV95cUxObzZ6QktXS3BtVlRuXzgwekc0c2VYOHBGV2NqUXRaUTdHMU1EWmR3MVBfQ1oyUjRya0ZhYjVyVVlUTkdBekt2cGFXbVdKZDdVQ2FMR252ZU50QjVGU2g4M2tFbW9ZazVTZjczS2pldDRIb1pMeWZFZ3dscW9oSGZsTTNwN05SZzlOOTIwWjNndWtVWk9PMlN6d1o5LVk3VU1hTzh4UGNBaW52UGpJQXNtME5ZTVZVOEV5SWJsSHFjM04ybkREdE83S0tOMWY4WFpQR3ZvLUR3cnRuMm5hQ0QxeFJhRld6aVcySzA3UFIwcGNpeEktWGJjNWt0UW5kT0F3cDF0UzlZNE4xamRqdEsxVGlsTzd4NGc4X0I2TjQ1eFQ0VE1VVTJDb3ZONUdNMjdDa0pYd212T3UtR2RnODh2QjJFYVNraHF4bjRFN2hGOUF1SDY4Z0NvaHROd05NeEZCZkVWR0M2OUxxQjFsSVphMWxseFB4MmxYM3hXODctVDlVc2c?hl=en-IN&gl=IN&ceid=IN%3Aen,Delhi 'Concerned' Over Israeli Strikes At UN Facilities
1,TN Train Accident,https://news.google.com/read/CBMiqgNBVV95cUxNYkFjbThBTkJYUmNaTm5ZS1R3c0h0ajNBbk94aG5wV2Jqa2pvTXI1MnBnbmtkVFFtV0w0OTdoNy1jM2ZscW1JWTdUY0NQWmtsT3hrS05lX3hPN0txd2o1cnRYRGxkMEZIWWFTaTBJTEpTYm01RFpjVC1WcWlsOHdIUWtBT1V6VjAwQjZBbW1uR0NJYTRuUVF6eTBvYkI5Y3BoODNseFduN0xQREFqYXNIRjVaOUQ3YjN0ZGVyQ2RjM254ZkhFdDExQTNpZnBQV2h1TXAyZFBBNHpjLUJ2Nk9Bc0RPaURPTWFZSFRHTGFmYVhCWDQ1QUhhM05GMnFUODRub0FYNWJGSXVuanYwOVkyOEU3SVkxMVVQM1pJZDdXSkZXOFVlbUV3dkE3ZEtGZmZITU1SdGFGUmsxUFd6OGRad3B5aW9MRnREYzVoTWVOdGp4VF9NN01mZjhoeDNLcnR0LWhYUHRYTUVQU3hjdWtJSWN2R0ROeXVTblc2VXpHZ01KSXFWQXdjNTlGZTY1TDV5bXc2bHJyYmg4a1FnRWc0WHY1UjdFNGw0Mnc?hl=en-IN&gl=IN&ceid=IN%3Aen,"Helplines Issued For Affected Passengers, Rescue Ops On: Details"
2,Bumrah To Lead India?,https://news.google.com/read/CBMilANBVV95cUxPQWV5TUV1WUFVOHNBZFNnY1pjSS1UZjg2RmtGNU0tZjVBdVE1Q21WRjJ1WWRBY0QyRG9hR1FFb21Kcm4ycng5ck8zZk1OM1NzakRhTVpwbDZkZlhjdGlEY3B3di01QlptZEpLM2kyd0d4REJrVFZJd1FwRlc2WTNTcldUNTFvSW1rckYzcnpSQzUzb0pxRnp4QjRGa3Jnc1FHWHM4akNjeVhLaENzWGxmcUhaeU5rNFVnUzlYWlJDNXF0NTJQMFFXbC16YW1IWEcwb3dwd2ZBRWhycDJIWGpoTG9tdkZ2d1RqU0ZGdVlZU3YxNmQtbURlZlNBTlAzUl9rbjJvV2hQMk04bmU1LVN4c3ZFaGNpTW9sS1B6RS1zaHE5OW9oM2hSMzUwZXBpeXRISkJ6MEZ6dGNBeUIwMDJ1clB4R3N6cUJIWmdlVEZ4QTg4VEVOT1dxYXYtX3c0RkNkeHBidlgyWUpBSmJ0LXlmbk1VWGFMSTZqcWlsZUM3UUVtSzM0UVpIMV9QM0FzRFNSSVpWYg?hl=en-IN&gl=IN&ceid=IN%3Aen,BCCI's Major Hint Ahead Of Australia Series
3,Renewable Energy,https://news.google.com/read/CBMilwVBVV95cUxPaXhsblByYmttS2dGWmg0d2JYbjhBeVc4Q0ExT2xfbUIyZjFsdUFLelVhUDdvdkg4RWpPOVlWMHVhbVhZUWh0cWg0V0FLMUpzbVRrSXdzcWJfV1EyUVh2eHkwbWpFX2N0eVdfUjFwdDhqN05HblJNSXVOTmxxdHEtTnhYekhucTZGVlg4UHRrNmdmdUFoLWcyYU53WHVoU1Q0RGlLRDRHeWc5WHRqNnVTanVNUUhDVEkyd2ZkUlpNZS1UWUZDYXhNdzR3X09GZ1BlUU15ZHUyY0ZNYWR6ODkyTUZrRHVrVHZCeU5xSk1Xa1FOQ1VITFVoZ3YybmZNeFpqdlluUDRnTVdFLXV1cFB6aUNSam13QWlqQm0xLXVrOVdLcXMxSy1LZFEzTVFfOE55UnJQbkxjaHhEcG9LSm5UaTQyM3dmMm5DblJHSnZSMTRsTXM3TFd1WVF5WHJKY3BTRHFSN3VXVi1EX1ZWeTBHYnFnYjRfdkNFcTViLXVlbVpsTXlMMEFBMTAwd3JJT0ZMcF9ZWTlLUW83aHJnUVdodUkxdlNpQXF0cVRDdWJ3ZUcwZXRYMnc5cUNudlhQb3BjbklLQVI3WEh5RTdRRUxPcUdudy04NjYxcmpEbDM5NXY5UTdHMnhYZkRHQ3hxM1RxTkxDRHRxRmZRWGN6V0lPUTFTaFRFX1ZUbUJNZHBoMS11NzFiVndnV0RzOXdhamR5RWZnZmN0aGRrcEp4RVVlbGhrNXkxTG5BaElMN1R3ejBSbFJ1NnZKQnlPNnVPM05vMGl1VDdfQlQ0WUQzOGdfbDNUTGgtQ0paSVZ2cVFkMDM1S210S2Q0Vmk1RVV2TGp0WkREdFRaVFplRjUtVmNqLXcxQTBMSkE?hl=en-IN&gl=IN&ceid=IN%3Aen,"Gujarat to add 20GW RE capacity in Kutch, Banaskantha"
4,Damage for held-up rice cargo,https://news.google.com/read/CBMitwVBVV95cUxPU3lyN0F1VzdJdkt0cXg0YTlfd3VncXNWVmR1T0xrU2I5cnlnQUFXOWtWVmk2d3E0ZzVEb0dVV2pUNGtsbEtfVVZFUVB6cEZBeHpSNzh1RFFKRVZ4blVEdU44bmlZQTZfM2d5OVdoM2Voa0dQNHhPZXZKRmpxcGIxZ25yQnBlcmNlc2I5Sy1pdlh5cEpWSjhLQjRfcHd0N3pSRnhmWk85eHE1MjM0R2tfdXFBem9NWUs2ZGdSY0xUQlVMdlZJOGlnSWIycTUyYUxJQnM0WFBTbkk2ay1UUE5ITUVWbDN3VzBXMUtCY2xXakMxb3FQRTZlZ2JYRE1mYklKcHZ4OHZCMGNkckFUaGU3a2ZZN3dQQkNCTERUU0FBSEc5UmVkT2xVWmxCWkhPaDViNWhVUjJvS1ZfV1l5aU12VDVEZUY3RXAyOWJQZGZJcHFsMkVYUUdpa0FZV1hqdm5yMHZTSDhJVmtiMnFUOTRCa08wS19GSFNVbGhsenQzaWFER1FaZ0wyMVpBSmtrOGFWMzVzMzNqUXdQdmdnM2E5ZmNMUnRPNDZsZ3Y5SnhqRHZtcmZ0aHd2YzRqSl9YS0pDTllfUVhrNDdtY3g0akRuX3JuUnR2ZU00ZHc3WW1YVHNHdlB2TkdIWmVGTDlOdFBxdWNrTzVJelczZkU0OEdtUklPZ0RJSDBCX3ppRmxXcFRiUnA3alU3bndxV05MWUtkSnA0RTR6T1FaUHVmS0JKSFh2Y0JzSUR3THV4UEtTS19HSzNaNmVoeWdGUjlQMno5WTJYNktqamh4ckRSN3BhcjZ5ZXl0VDY5YUNEX1RyazBoN1FJX09wRWx6RXMzdWxBT0M2R0UwTml0bEVrT1BwTXdGcUVLNHFoSGo1U1pXeTR2Q04taEx0aGJsMEJibUNtSTY1Q1ByUQ?hl=en-IN&gl=IN&ceid=IN%3Aen,Gujarat HC orders ‘arrest’ of SW South Wind I
5,First instalment of grant,https://news.google.com/read/CBMipAVBVV95cUxQSk1WTHRQSU5ET0lUeW9qbXJjazlLVmtNYTJ0Q25FYTFoOUQ1RTZMcXJsX3hXSno1T1hZcWF1d3hVLWdaeDg1UmhuYUlPQ1ZfUWJUeVFXSk5VUnp5ZnBENm9XNmgwamVmOWVTR1NtNl9SU3JQa3NPb0tWQjdodVU2eG42TlB0em5BcG94cElOSi03cmZzdThmaHlUdXlhR0FOVXZsZGhIbnNGTTRiOWNicVVMdnFwS3hLMGpydDhPZ0tJQUR1VkxTZThDYkh4TjFvN00tendlYU5FSlczZ3h1WG9SVmZHTFpaYTBtaml2Q2VYRzBmSTY4SktWTVc5TmZVbWY2OGVQMVBmamZQZUREYUd5dF9OTlZkZ1lDQTlkQ1hvNmczY0kxTmcwZFhkaEpQNW14RGd5clZKR3JTRS1HdWhFQnN1anhtOTZsQTBkelo4cGRKb1Rwang3dnMtdU02TURyaDBqaTNyc1pFTnh2ZXRtWDBOZmUtNDlLLXF2cDAyaGdBemFLS0FibGFqeTF2U2l2X1dhVWxPdktOMnUzaFJOMktFakZTOENxWEtWd2w2bkNQSnBUMVZfU2NmZWV6SFEzS0tRZ0FsckdKOFJFX3ZYMVZFS2tMUHBZQzlWcVVNVVoxUU1XRlRTVG9QZnk1QVdqRUdjR205UGpPekUzZGFXYzFWVW04UE05M2x5c3ljNTRZMkxfLVlDR0RldVAtUGhva29vZ1NmNlYydVBMMDFIRmZnMVhZOTVsdm5KcHUtRlJlU2RYbTNTZTdRemJZTkdGZF9sb1hMSUoxa3Q3ajJ3SWxKU2E0Tkd3XzFzQzY3OWcxYjViZHdhSG1MNUpscjJHQUdTUWdLQmVtM2ZNV0RhS2FyOHRwNTRsY21nLVhZN0p4?hl=en-IN&gl=IN&ceid=IN%3Aen,"Centre releases finance grant for Andhra, Rajasthan"
6,Baba Siddique Death,https://news.google.com/read/CBMirwJBVV95cUxNbHNaVnNqSjl6ckJEZGIyTGFZOXNBSHJkd19xRVdfVkZHTXFxTDdMb2JLTW1yREZvUHhlLVhNdF9qWTVRRlN2NjFrWjk5ZWg4MW94SUNUcnltRjJFQUM3UVd6YzhxZDA3Q0k1a3RaNWNqNFNJVHRITDdxZm9XZ1llbkF3SWZHVnZYY3FJUHZiR1dlbVBwWWJ4ai1LTTlHR1kyZllCamwySFJNNUNuS1ZFZDhuZFRqUm9iX0E4R3F0MEJMbUVzeEJ4eW93NmhPLVVRclFsZ1pYVVo2RncxMklOR0h0NHpMc0x5dkhLY3JVQ1pqaDFfbTRJeUVGM0JpMlFyYmFxMXFLZHcyYTBtWlZaaWxFSUxFNExiWFdXZVhzUE5rVWtaV09tOGowamNpY2s?hl=en-IN&gl=IN&ceid=IN%3Aen,Baba Siddique Passes Away: NCP Leader Shot Dead In Mumbai
7,Baba Siddique Death,https://news.google.com/read/CBMi6gJBVV95cUxPSWFFcUgyRmpWSmc1OFpGYTNDWGdHQWVjdGZpbEE5RnVubWNIM3NYUVVwdVVxbXRmSUU4QVJZTUtZSmlSOG95T25HdTh0aHpRcnl2UHczb243Nm01SXVtQ2I0TUlsQ3FZd1ZWbzdySXFDSFJ6dVN0RGp4dmVUejhkQkZwQm5hWnlJY0laOF9CUTdURTNvdzA3UTYzSUozOFI2NjhJaGw0Tllzb2lRS2NSMGVLTE5VS0kzblVTN2tGN2pzN2dfLVFWd0JFSHJhaWdydzlUZXhVZ0Q1YU9UMWZteVV3Uk9yVV9vS1VMNHFsLU5mMGFpaEdLYVhBSGJEMjdMam1TRjRwdzBnanBHSHNGOWNXal8zMTRtMjBtUllmS0owTWhaRkNKN3h4cE1qc2F0SlpCb0Rpc1A5OU1QUEoyVHlxS2oyRmZ0VXUwbDFtYnczM1BjNWV4dFZ0dFFKbklHWHVuZnJEY3h1dw?hl=en-IN&gl=IN&ceid=IN%3Aen,Baba Siddique Shot Dead In Mumbai: Salman Khan Rushes to Lilavati Hospital Cancels Bigg Boss 18 Shoot
8,Dasara Melava 2024,https://news.google.com/read/CBMihwNBVV95cUxNRFRXdEpnVHZzeWtUZFFfSUNyc3A2LWlENTRRcGRwOEt0eEZfb21iR21aT1BzaDF0YTAzZTVpZzZxVW9vY0FMZFlqcGNjZTJ1aDZMRnhZU0RKZmQzdmo1dGctX0hvN1hUN3hZbnI4Qnl5d3BYaFNLbzdkYjRJYWFQd3VTaEpXamFEWklZOTFQUGtKSjhZZTZNZVRqOFN6ZFJJZThnc2FSbFg1Y3d5eGxPbzRIbGRpNjdGc1dRSkpoRk9ZNEVrTVNRdmJJMHNJeGprd0hzc0I2YkxpcTFrU21LSThjcUFNQ0hhWGpKdnczZmVCSndqVHp2VnBaaERWWUpVaUN1WkJxOENYRC1VQWdqRE5pa2M3ZDdCMVRHSVlOamJ1c0taNFVCWkRNY2lCRUc1RXY2S3RJLWhUdEp0ZGVIdjl4OHpmN1VHRzZwWGdlS0R3b1YwRWxLeElkRlFGT3hwUmRyM2hGdDRYVTlNT1U4bTg3MWxCSWY2UnppQnRpQ2ROdVNxZjRr?hl=en-IN&gl=IN&ceid=IN%3Aen,"Uddhav Thackeray Says, 'We Are the Real Shiv Sena, and Balasaheb Thackeray's Name Is with Me' - www.lokmattimes.com"
9,Newsx,https://news.google.com/read/CBMixgJBVV95cUxNOVNtNXpXOGdwM28yV285eG1vN0htdEdkNV9LQXJLaDJFdnBsNmVKX09ZdkxnTDF5YUtJclBOTVRiM1JpdUdxal9UTlhaOWs4LXlUS2JlZm1oQ0U5TUNhRHN1WS1ZczljWFRiUWFzWDJQNHk3SE1ua0hneFZ6V1NRQWYxMnk3MW04NTVWaF9hY3M5OUJfVDg5Q0Z6d2hoNnVleEpRMlhJR0xFR3ZldGZHRmFpbU51TTFtS3ZCZjZuaENETjFIelh5cFR3UmdmLW4zYVRBbWlzMVJhcXpIbWItTi15eDdyc0NZaE5COVNWY0huNHB5cWN3b0Y3cGFibUtacVJQVEdYWF9YaFJ5M3hjNzFrXzdIWWtYQzRQaEQ3MlVwaG9CSzRXVlZWaUVfX2JtTndMYUk2WEtxTXhzTTVHRnV1bVdhdw?hl=en-IN&gl=IN&ceid=IN%3Aen,"Mysore-Darbhanga Express Train Accident: 18 Trains Cancelled, Investigation Underway"
